#Supplementary Table S2. GCF representative BGCs and their associated Seurat clusters in the BTyperBGC atlas.
Seurat_clusters	GCF_representative_BGCs
1	BTDB_2025-0003889.1.clustersSAMN39321992-SRR27784340_00002_cluster_4
1	BTDB_2022-0001998.2.clustersGCA_002568465.1_Contig_248_cluster_1
6	BTDB_2025-0000495.1.clustersLGCC01000019.1_cluster_1
0	BGC0003126
5	BGC0001624
5	BGC0001571
0	BGC0001749
3	BGC0002233
3	BGC0003109
3	BGC0002234
5	BGC0001398
5	BGC0001518
8	BGC0001142
0	BGC0001563
0	BGC0001741
0	BGC0000046
2	BGC0000355
0	BGC0002539
0	BGC0002546
0	BGC0000983
0	BGC0002235
0	BGC0002204
0	BGC0001724
5	BGC0001515
8	BGC0001776
8	BGC0001775
8	BGC0002855
8	BGC0001706
0	BGC0002427
0	BGC0002429
0	BGC0002604
0	BGC0002614
0	BGC0000129
0	BGC0002759
8	BGC0001372
2	BGC0002996
2	BGC0000420
0	BGC0001926
0	BGC0002612
0	BGC0001729
0	BGC0001708
2	BGC0001517
8	BGC0001868
5	BGC0001869
0	BGC0002619
8	BGC0001722
0	BGC0001827
0	BGC0000154
8	BGC0002758
0	BGC0000099
0	BGC0002196
0	BGC0002190
0	BGC0002253
0	BGC0002709
0	BGC0001866
0	BGC0002185
0	BGC0002867
0	BGC0002255
0	BGC0002206
0	BGC0000045
0	BGC0001057
0	BGC0000161
0	BGC0002887
0	BGC0002987
0	BGC0000070
0	BGC0000007
0	BGC0002258
2	BGC0002272
8	BGC0002254
0	BGC0002063
0	BGC0001886
0	BGC0000168
0	BGC0002507
5	BGC0001882
0	BGC0002227
3	BGC0002228
2	BGC0000404
0	BTDB_2025-0000788.1.clustersJAAQPO010000004.1_cluster_8
1	BGC0000014
3	BGC0001051
3	BGC0001342
9	BGC0000604
13	BGC0001860
3	BGC0000143
1	BGC0000605
1	BGC0001640
2	BGC0000611
2	BGC0001473
4	BGC0000495
1	BGC0003002
3	BGC0001755
5	BGC0002270
8	BGC0000894
0	BGC0003150
4	BGC0002716
4	BGC0001055
2	BGC0002570
2	BGC0002715
3	BGC0000972
8	BGC0000633
8	BGC0000636
8	BGC0000644
8	BGC0000637
5	BGC0000391
6	BGC0001539
6	BGC0002903
6	BGC0002074
6	BGC0001506
6	BGC0001307
1	BGC0001655
1	BGC0002825
1	BGC0002064
9	BGC0002886
11	BGC0000603
4	BGC0001469
1	BGC0000521
1	BGC0000539
4	BGC0000607
0	BGC0001111
0	BGC0002813
0	BGC0001300
9	BTDB_2022-0002512.2.clustersGCA_002585785.1_Contig_540_cluster_1
0	BGC0001056
0	BGC0002532
7	BGC0000620
8	BGC0000933
9	BGC0001529
0	BGC0002806
9	BGC0000153
3	BGC0001215
3	BGC0001828
3	BGC0001200
3	BGC0002500
0	BGC0001810
0	BGC0001231
2	BGC0000444
11	BGC0002508
1	BGC0001620
1	BGC0000543
1	BGC0000509
6	BGC0000510
12	BGC0000350
5	BGC0001736
5	BGC0002706
4	BGC0002351
1	BGC0001498
1	BGC0000939
2	BGC0001999
2	BGC0002565
0	BGC0002087
2	BGC0003048
2	BGC0001363
2	BGC0002421
2	BGC0000464
2	BGC0000189
11	BGC0002470
1	BGC0002382
2	BGC0002422
2	BGC0000984
2	BGC0002419
2	BGC0002416
2	BGC0000330
2	BGC0002001
2	BGC0002465
3	BGC0000413
2	BGC0002693
2	BGC0002433
2	BGC0002117
2	BGC0002418
